Fechas,Tipo de cambio Interbancario - Venta
9-Oct-23,3.8375
10-Oct-23,3.8255
11-Oct-23,3.825
12-Oct-23,3.843
13-Oct-23,3.8505
16-Oct-23,3.86
17-Oct-23,3.859833333
18-Oct-23,3.868333333
19-Oct-23,3.872166667
20-Oct-23,3.874
23-Oct-23,3.872166667
24-Oct-23,3.8655
25-Oct-23,3.871666667
26-Oct-23,3.869
27-Oct-23,3.8585
30-Oct-23,3.842833333
31-Oct-23,3.837833333
1-Nov-23,n.d.
2-Nov-23,3.794833333
3-Nov-23,3.735
6-Nov-23,3.759166667
7-Nov-23,3.775666667
8-Nov-23,3.796833333
9-Nov-23,3.7965
10-Nov-23,3.811666667
13-Nov-23,3.812166667
14-Nov-23,3.769333333
15-Nov-23,3.773333333
16-Nov-23,3.77
17-Nov-23,3.771166667
20-Nov-23,3.7395
21-Nov-23,3.7405
22-Nov-23,3.742
23-Nov-23,3.735
24-Nov-23,3.733166667
27-Nov-23,3.723
28-Nov-23,3.729333333
29-Nov-23,3.7335
30-Nov-23,3.738333333
1-Dec-23,3.7345
4-Dec-23,3.745
5-Dec-23,3.757333333
6-Dec-23,3.755166667
7-Dec-23,3.754833333
8-Dec-23,n.d.
11-Dec-23,3.773
12-Dec-23,3.776333333
13-Dec-23,3.786666667
14-Dec-23,3.763333333
15-Dec-23,3.763833333
18-Dec-23,3.748333333
19-Dec-23,3.7135
20-Dec-23,3.706
21-Dec-23,3.704666667
22-Dec-23,3.684833333
25-Dec-23,n.d.
26-Dec-23,3.686833333
27-Dec-23,3.690833333
28-Dec-23,3.7025
29-Dec-23,3.709833333
